Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:27:53,2017-09-16 15:28:34,41.355s,FAILED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-16 15:27:53,2017-09-16 15:28:01,7.661s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-16 15:27:53,2017-09-16 15:27:56,2.598s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-16 15:27:56,2017-09-16 15:27:57,1.167s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-16 15:27:57,2017-09-16 15:28:00,2.918s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:28:00,2017-09-16 15:28:01,0.332s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-16 15:28:01,2017-09-16 15:28:01,0.127s,PASSED
click,Chrome 60.0.3112.113,,2017-09-16 15:28:01,2017-09-16 15:28:01,0.153s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-16 15:28:01,2017-09-16 15:28:07,5.996s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:28:01,2017-09-16 15:28:06,5.067s,PASSED
selectOptionByValue,Chrome 60.0.3112.113,,2017-09-16 15:28:06,2017-09-16 15:28:07,0.661s,FAILED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-16 15:28:07,2017-09-16 15:28:33,26.392s,FAILED
delay,Chrome 60.0.3112.113,,2017-09-16 15:28:07,2017-09-16 15:28:17,10.003s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:28:17,2017-09-16 15:28:17,0.114s,PASSED
mouseOver,Chrome 60.0.3112.113,,2017-09-16 15:28:17,2017-09-16 15:28:33,16.147s,FAILED
