Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite-CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-26 19:06:50,2017-09-26 19:08:22,1m - 31.309s,PASSED
,,,,,,
Test Cases/Login,Chrome 60.0.3112.113,,2017-09-26 19:06:51,2017-09-26 19:06:59,8.123s,PASSED
openBrowser,Chrome 60.0.3112.113,,2017-09-26 19:06:51,2017-09-26 19:06:54,2.697s,PASSED
maximizeWindow,Chrome 60.0.3112.113,,2017-09-26 19:06:54,2017-09-26 19:06:55,1.163s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-26 19:06:55,2017-09-26 19:06:58,3.289s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:06:58,2017-09-26 19:06:58,0.229s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:06:58,2017-09-26 19:06:59,0.127s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:06:59,2017-09-26 19:06:59,0.252s,PASSED
,,,,,,
Test Cases/SelectRole,Chrome 60.0.3112.113,,2017-09-26 19:06:59,2017-09-26 19:07:05,5.614s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:06:59,2017-09-26 19:07:04,5.025s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:04,2017-09-26 19:07:04,0.109s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:04,2017-09-26 19:07:04,0.101s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:04,2017-09-26 19:07:04,0.137s,PASSED
,,,,,,
Test Cases/CreateMaterialRequisition,Chrome 60.0.3112.113,,2017-09-26 19:07:05,2017-09-26 19:08:21,1m - 16.173s,PASSED
delay,Chrome 60.0.3112.113,Delay 1 second,2017-09-26 19:07:05,2017-09-26 19:07:15,10.005s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Requisition Menu,2017-09-26 19:07:15,2017-09-26 19:07:15,0.093s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:15,2017-09-26 19:07:17,2.001s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Requisition Sub Menu,2017-09-26 19:07:17,2017-09-26 19:07:17,0.080s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:17,2017-09-26 19:07:19,2.003s,PASSED
mouseOver,Chrome 60.0.3112.113,Mouse Hover On Create Material Requisition Sub Sub-Menu,2017-09-26 19:07:19,2017-09-26 19:07:19,0.085s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:19,2017-09-26 19:07:21,2.003s,PASSED
click,Chrome 60.0.3112.113,Click On Create Material Requisition,2017-09-26 19:07:21,2017-09-26 19:07:21,0.095s,PASSED
waitForPageLoad,Chrome 60.0.3112.113,,2017-09-26 19:07:21,2017-09-26 19:07:21,0.030s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:21,2017-09-26 19:07:23,1.697s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:23,2017-09-26 19:07:23,0.335s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:23,2017-09-26 19:07:23,0.095s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:23,2017-09-26 19:07:24,0.407s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:24,2017-09-26 19:07:25,1.169s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:25,2017-09-26 19:07:25,0.116s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:25,2017-09-26 19:07:25,0.197s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:25,2017-09-26 19:07:26,1.158s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:26,2017-09-26 19:07:28,2.001s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:28,2017-09-26 19:07:29,0.268s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:29,2017-09-26 19:07:29,0.222s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:29,2017-09-26 19:07:29,0.258s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:29,2017-09-26 19:07:30,1.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:30,2017-09-26 19:07:30,0.219s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:30,2017-09-26 19:07:31,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:31,2017-09-26 19:07:31,0.165s,PASSED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-26 19:07:31,2017-09-26 19:07:32,0.815s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:32,2017-09-26 19:07:32,0.182s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:32,2017-09-26 19:07:33,1.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:33,2017-09-26 19:07:34,0.139s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:34,2017-09-26 19:07:36,2.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:36,2017-09-26 19:07:36,0.149s,PASSED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-26 19:07:36,2017-09-26 19:07:43,7.191s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:43,2017-09-26 19:07:43,0.175s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:43,2017-09-26 19:07:45,2.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:45,2017-09-26 19:07:45,0.125s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:45,2017-09-26 19:07:47,2.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:47,2017-09-26 19:07:47,0.130s,PASSED
waitForAngularLoad,Chrome 60.0.3112.113,,2017-09-26 19:07:47,2017-09-26 19:07:48,1.050s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:48,2017-09-26 19:07:49,0.147s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:49,2017-09-26 19:07:50,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:50,2017-09-26 19:07:50,0.095s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:50,2017-09-26 19:07:51,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:51,2017-09-26 19:07:51,0.130s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:51,2017-09-26 19:07:52,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:52,2017-09-26 19:07:52,0.065s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:52,2017-09-26 19:07:53,1.003s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:53,2017-09-26 19:07:53,0.131s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:53,2017-09-26 19:07:54,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:54,2017-09-26 19:07:54,0.099s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:54,2017-09-26 19:07:54,0.242s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:54,2017-09-26 19:07:55,0.369s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:55,2017-09-26 19:07:55,0.158s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-26 19:07:55,2017-09-26 19:07:55,0.190s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:55,2017-09-26 19:07:56,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:56,2017-09-26 19:07:56,0.167s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:56,2017-09-26 19:07:57,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:57,2017-09-26 19:07:57,0.173s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:57,2017-09-26 19:07:58,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:07:58,2017-09-26 19:07:59,0.144s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:07:59,2017-09-26 19:08:00,1.002s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:08:00,2017-09-26 19:08:00,0.104s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:08:00,2017-09-26 19:08:01,1.001s,PASSED
click,Chrome 60.0.3112.113,,2017-09-26 19:08:01,2017-09-26 19:08:01,0.093s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-26 19:08:01,2017-09-26 19:08:21,20.001s,PASSED
